"Gene","logFC","AveExpr","t","P.Value","adj.P.Val","B","sig"
"YY1AP1",-0.348714726037018,9.26031563915591,-6.93975873817189,6.83175023134599e-10,9.31334407297526e-09,12.0672761438294,"Not Sig"
"SELP",1.35965258905613,7.23901798626151,6.93831980674558,6.87656390570957e-10,9.3687442307357e-09,12.0608504245368,"Up"
"ATP6V1C1",-0.387576772973806,7.92180367894687,-6.93525802968831,6.97289186254173e-10,9.49421847715861e-09,12.047178927683,"Not Sig"
"ADAM6",-0.353984379684236,4.44403545124004,-6.93460633559113,6.99356726909586e-10,9.51448357910529e-09,12.0442691892337,"Not Sig"
"ZBTB2",0.582359164193837,7.80564218913776,6.93452173967164,6.99625558426121e-10,9.51448357910529e-09,12.0438914838596,"Not Sig"
"C9orf40",-0.699797273182845,7.78362148053117,-6.93352330878746,7.02806158997309e-10,9.55194875938256e-09,12.0394337687083,"Not Sig"
"E4F1",0.339182730598969,7.37128505143527,6.93289622139593,7.04811138265486e-10,9.57340020068961e-09,12.0366340899675,"Not Sig"
"RABL3",-0.42885980483516,7.76349446327105,-6.93241250212035,7.06361604384843e-10,9.58865580205172e-09,12.0344745371377,"Not Sig"
"SLC26A2",-2.90891525786133,11.1105982963411,-6.93226102873615,7.06847817622938e-10,9.58945476399099e-09,12.0337982965647,"Down"
"CD207",-0.439027772602688,4.61059536822384,-6.93092981129905,7.11135189070836e-10,9.64179003477976e-09,12.0278553620054,"Not Sig"
"ENSAP2",-0.588818330911278,7.99735118119525,-6.93069197153855,7.11903897153569e-10,9.64638378516241e-09,12.0267936109409,"Not Sig"
"KLHL5",1.26319780510473,6.78538244013351,6.92720367776187,7.23273379593308e-10,9.79452707585652e-09,12.0112225314652,"Up"
"AP4M1",-0.477498253717744,7.16412538685068,-6.92678243724586,7.24658472239116e-10,9.80736517404918e-09,12.0093423420974,"Not Sig"
"CS",-0.555356085032665,11.1441307931653,-6.92652679131328,7.2550035152503e-10,9.81284049901756e-09,12.0082012927806,"Not Sig"
"SNORA11D",0.867522781280996,5.89181620828523,6.92357518440588,7.35290979941906e-10,9.93328976454932e-09,11.9950279517616,"Not Sig"
"SNORA11E",0.867522781280996,5.89181620828523,6.92357518440588,7.35290979941906e-10,9.93328976454932e-09,11.9950279517616,"Not Sig"
"SMPDL3B",-0.663782000241057,6.73446331977417,-6.92326319691432,7.36333486928439e-10,9.94138815474564e-09,11.9936356096067,"Not Sig"
"HSH2D",0.799009670852485,6.6746565377756,6.92107675698097,7.43680743249695e-10,1.00345473227781e-08,11.9838784277176,"Not Sig"
"PLS3",1.0079498209889,10.6712887835856,6.92091003290541,7.44243973731573e-10,1.00361120952901e-08,11.9831344421813,"Up"
"COL1A2",1.58281407536218,10.2877399468202,6.92044850970644,7.45805308330762e-10,1.00511263144949e-08,11.9810749782631,"Up"
"RPPH1",0.448943795160433,5.7033073197345,6.92013660622384,7.46862318534233e-10,1.00593298713023e-08,11.979683187101,"Not Sig"
"GIMAP2",1.25177483404847,8.8333464430788,6.91846725260745,7.5254490753344e-10,1.01297871506556e-08,11.9722344137065,"Up"
"OVOL1",-0.771366965470701,7.37583294623428,-6.91736096255531,7.56334401404719e-10,1.01746928256118e-08,11.9672983473148,"Not Sig"
"H4C9",-0.385912180877525,6.30579364097296,-6.91712144961891,7.57157320293259e-10,1.01796603415581e-08,11.966229713025,"Not Sig"
"DEFA6",4.38195917009523,9.24117986099114,6.91631526823415,7.59933731348096e-10,1.02108700585149e-08,11.9626328518117,"Up"
