"from","to","combined_score"
"9606.ENSP00000368244","9606.ENSP00000429243",469
"9606.ENSP00000379226","9606.ENSP00000429243",495
"9606.ENSP00000332139","9606.ENSP00000430075",411
"9606.ENSP00000406261","9606.ENSP00000430075",956
"9606.ENSP00000264381","9606.ENSP00000430656",468
"9606.ENSP00000285379","9606.ENSP00000430656",620
"9606.ENSP00000199936","9606.ENSP00000445122",962
"9606.ENSP00000251566","9606.ENSP00000445122",678
"9606.ENSP00000320401","9606.ENSP00000445122",724
"9606.ENSP00000362549","9606.ENSP00000445122",666
"9606.ENSP00000237612","9606.ENSP00000447149",417
"9606.ENSP00000251566","9606.ENSP00000447149",550
"9606.ENSP00000295834","9606.ENSP00000447149",772
"9606.ENSP00000296327","9606.ENSP00000447149",906
"9606.ENSP00000319814","9606.ENSP00000447149",504
"9606.ENSP00000335292","9606.ENSP00000447149",821
"9606.ENSP00000353198","9606.ENSP00000447149",567
"9606.ENSP00000358414","9606.ENSP00000447149",434
"9606.ENSP00000362549","9606.ENSP00000447149",601
"9606.ENSP00000387662","9606.ENSP00000447149",692
"9606.ENSP00000445122","9606.ENSP00000447149",426
"9606.ENSP00000219660","9606.ENSP00000448310",445
"9606.ENSP00000234701","9606.ENSP00000448310",526
"9606.ENSP00000345873","9606.ENSP00000448310",449
"9606.ENSP00000361281","9606.ENSP00000448310",559
"9606.ENSP00000016913","9606.ENSP00000479536",473
"9606.ENSP00000429243","9606.ENSP00000481006",409
"9606.ENSP00000199936","9606.ENSP00000482704",952
"9606.ENSP00000352584","9606.ENSP00000482704",427
"9606.ENSP00000445122","9606.ENSP00000482704",694
"9606.ENSP00000237612","9606.ENSP00000483403",425
"9606.ENSP00000287641","9606.ENSP00000483403",516
