"gene","degree","clustering_coeff","module"
"FCGR3A",9,0.583333333333333,"Module_3"
"S100A12",9,0.611111111111111,"Module_3"
"FCGR3B",9,0.583333333333333,"Module_3"
"AQP9",7,0.761904761904762,"Module_3"
"MNDA",7,0.857142857142857,"Module_3"
"S100A8",7,0.809523809523809,"Module_3"
"S100A9",7,0.809523809523809,"Module_3"
"SELL",6,0.6,"Module_3"
"CD38",4,0.666666666666667,"Module_3"
"ANXA1",4,0.666666666666667,"Module_3"
"PROK2",3,0.666666666666667,"Module_3"
"CD55",2,1,"Module_3"
"MS4A1",2,1,"Module_3"
