"country","region","disease_type","year","epi_stage","incidence_rate"
"Iran","Guilan Province","CD",2012,2,0.88
"France","France","CD",2013,3,11.465251575
"Lebanon","Lebanon","CD",2011,2,4.582
"Spain","Spain","CD",2017,3,7.395480908
"Japan","Japan","CD",2000,2,1.266426612
"Italy","Milan","CD",2018,3,9.333333
"England","Devon","CD",2016,3,10.7
"South Korea","South Korea","CD",2019,2,3.484604811
"Brazil","Uberlândia","CD",2014,2,0.31185874
"United States","Olmsted County","CD",2015,3,7.855204
"Sweden","Region Jämtland Härjedalen","CD",2015,3,7.97
"Canada","Alberta","CD",2018,3,13.51705044
"Canada","British Columbia","CD",2019,3,12.09989088
"Canada","Canada","CD",2014,3,13.48454307
"Canada","Manitoba","CD",2014,3,12.04052497
"Canada","Newfoundland and Labrador","CD",2014,3,25.56048463
"Canada","Nova Scotia","CD",2018,3,19.92892365
"Canada","Ontario","CD",2016,3,10.58708675
"Canada","Quebec","CD",2014,3,13.60705643
"Canada","Saskatchewan","CD",2018,3,10.15694197
"Denmark","Denmark","CD",2018,3,13.33245139
"Hungary","Veszprém County","CD",2018,3,7.719298
"China","Yinzhou District","CD",2020,3,1.578947
"Spain","Health Area of Santiago de Compostela","CD",2017,3,6.547014336
"New Zealand","Lakes District Health Board","CD",2018,3,6
"Tanzania","Zanzibar","CD",2018,1,0.1328125
"Brazil","Paraná State","CD",2019,2,3.34
"Spain","Castilla y León","CD",2017,3,7.5
"China","China","CD",2016,2,0.97
"China","Yunnan (Western Region)","CD",2013,2,0.0772698
"Denmark","North Jutland","CD",2020,3,11.67785
"Wales","Cardiff","CD",2016,3,7.624113
"Scotland","Tayside Health Area","CD",2007,3,8.170789937
"Australia","Mackay-Isaac-Whitsunday Region","CD",2018,3,13.55428787
"Finland","Finland","CD",2020,3,13.39045389
"Italy","Healthcare District of Bra","CD",2021,3,12.1
"Russia","Irkutsk Region","CD",2019,2,1.38
"New Zealand","Waikato","CD",2014,3,7.857397142
