"country","region","disease_type","year","epi_stage","incidence_rate"
"Poland","Poland","IBD",2018,2,17.18771852
"Iran","Guilan Province","IBD",2012,2,6.2
"France","France","IBD",2013,3,21.6529729895
"Lebanon","Lebanon","IBD",2011,2,9.268
"Spain","Spain","IBD",2017,3,16.209888329
"Japan","Japan","IBD",2000,2,6.036502822
"Italy","Milan","IBD",2018,3,23.807013
"England","Devon","IBD",2016,3,27.5
"South Korea","South Korea","IBD",2019,2,12.138528131
"Brazil","Uberlândia","IBD",2014,2,0.46778811
"United States","Olmsted County","IBD",2015,3,19.411624
"Sweden","Region Jämtland Härjedalen","IBD",2015,3,30.91
"Canada","Alberta","IBD",2018,3,32.94344824
"Canada","British Columbia","IBD",2019,3,32.54792077
"Canada","Canada","IBD",2014,3,29.02619808
"Canada","Manitoba","IBD",2014,3,26.11386584
"Canada","Newfoundland and Labrador","IBD",2014,3,45.44086156
"Canada","Nova Scotia","IBD",2018,3,41.94464559
"Canada","Ontario","IBD",2016,3,25.94520919
"Canada","Quebec","IBD",2014,3,21.840000402
"Canada","Saskatchewan","IBD",2018,3,20.22780816
"Denmark","Denmark","IBD",2018,3,37.72360278
"Hungary","Veszprém County","IBD",2018,3,18.089668
"China","Yinzhou District","IBD",2020,3,17.192987
"Spain","Health Area of Santiago de Compostela","IBD",2017,3,21.672875046
"New Zealand","Lakes District Health Board","IBD",2018,3,12.4
"Tanzania","Zanzibar","IBD",2018,1,0.4765625
"Brazil","Paraná State","IBD",2019,2,13.77
"Spain","Castilla y León","IBD",2017,3,16.55
"China","China","IBD",2016,2,5.67
"China","Yunnan (Western Region)","IBD",2013,2,1.159047005
"Denmark","North Jutland","IBD",2020,3,27.91946
"Wales","Cardiff","IBD",2016,3,23.138298
"Hong Kong","Hong Kong","IBD",2013,2,3.12
"Australia","Mackay-Isaac-Whitsunday Region","IBD",2018,3,33.00174438
"Finland","Finland","IBD",2020,3,48.10443759
"Italy","Healthcare District of Bra","IBD",2021,3,29.5
"Russia","Irkutsk Region","IBD",2019,2,4.93
"New Zealand","Waikato","IBD",2014,3,18.054213502
"Italy","Lazio","IBD",2009,3,21.59821429
"South Korea","Jeju Island","IBD",2019,2,4.918113412
"Faroe Islands","Faroe Islands","IBD",2015,3,67.93478261
"Norway","South-East Health Region","IBD",2018,3,17.638418074
"Taiwan","Taiwan","IBD",2020,2,2.285135807
"Malaysia","Kinta Valley","IBD",2022,2,1.688865715
"New Zealand","Manawatū","IBD",2013,3,28.40265914
"Saudi Arabia","Riyadh","IBD",2022,2,0.35
"Brunei","Brunei","IBD",2022,1,0.44
"Indonesia","Central Jakarta","IBD",2022,2,2.64
"Uruguay","Boca del rosario, Carmelo, Colonia de sacramento, Colonia Miguelete, Colonia Valdense, Conchillas, Florencio Sanchez, Juan Lacaze, La paz, Nueva Helvecia, Nueva Palmira, Ombues de Lavalle, Rosario, Tarariras","IBD",2022,2,2.79
"Argentina","Córdoba","IBD",2022,2,2.63
