"country","region","disease_type","year","epi_stage","incidence_rate"
"Italy","Messina","UC",2013,3,47.64
"Brazil","Brazil","UC",2020,2,6.890487742
"Poland","Poland","UC",2018,2,12.51719943
"Iran","Guilan Province","UC",2012,2,5.32
"France","France","UC",2013,3,10.1877214145
"Lebanon","Lebanon","UC",2011,2,4.686
"Spain","Spain","UC",2017,3,8.814407421
"Japan","Japan","UC",2000,2,4.77007621
"Italy","Milan","UC",2018,3,14.47368
"England","Devon","UC",2016,3,16.8
"South Korea","South Korea","UC",2019,2,8.65392332
"Brazil","Uberlândia","UC",2014,2,0.15592937
"United States","Olmsted County","UC",2015,3,11.55642
"Sweden","Region Jämtland Härjedalen","UC",2015,3,22.94
"Canada","Alberta","UC",2018,3,19.4263978
"Canada","British Columbia","UC",2019,3,20.44802989
"Canada","Canada","UC",2014,3,15.54165501
"Canada","Manitoba","UC",2014,3,14.07334087
"Canada","Newfoundland and Labrador","UC",2014,3,19.88037693
"Canada","Nova Scotia","UC",2018,3,22.01572194
"Canada","Ontario","UC",2016,3,15.35812244
"Canada","Quebec","UC",2014,3,8.232943972
"Canada","Saskatchewan","UC",2018,3,10.07086619
"Denmark","Denmark","UC",2018,3,24.39115139
"Hungary","Veszprém County","UC",2018,3,10.37037
"China","Yinzhou District","UC",2020,3,15.61404
"Spain","Health Area of Santiago de Compostela","UC",2017,3,15.12586071
"New Zealand","Lakes District Health Board","UC",2018,3,6.4
"Tanzania","Zanzibar","UC",2018,1,0.34375
"Brazil","Paraná State","UC",2019,2,10.43
"Spain","Castilla y León","UC",2017,3,9.05
"China","China","UC",2016,2,4.7
"Russia","Zabaykalsky Krai","UC",2021,2,1.035088
"China","Yunnan (Western Region)","UC",2013,2,1.081777205
"Denmark","North Jutland","UC",2020,3,16.24161
"Wales","Cardiff","UC",2016,3,15.514185
"Hong Kong","Hong Kong","UC",2013,2,1.66
"Australia","Mackay-Isaac-Whitsunday Region","UC",2018,3,19.44745651
"Finland","Finland","UC",2020,3,34.7139837
"Italy","Healthcare District of Bra","UC",2021,3,17.4
"Russia","Irkutsk Region","UC",2019,2,3.55
"New Zealand","Waikato","UC",2014,3,10.19681636
"Italy","Lazio","UC",2009,3,14.84821429
"South Korea","Jeju Island","UC",2019,2,2.980674795
"Faroe Islands","Faroe Islands","UC",2015,3,57.74456522
"Norway","South-East Health Region","UC",2018,3,11.92090395
"Taiwan","Taiwan","UC",2020,2,1.5085821555
"Malaysia","Kinta Valley","UC",2022,2,0.7888040005
"New Zealand","Manawatū","UC",2013,3,10.70245127
"Saudi Arabia","Riyadh","UC",2022,2,0.15
"Brunei","Brunei","UC",2022,1,0.44
"Indonesia","Central Jakarta","UC",2022,2,1.67
"Uruguay","Boca del rosario, Carmelo, Colonia de sacramento, Colonia Miguelete, Colonia Valdense, Conchillas, Florencio Sanchez, Juan Lacaze, La paz, Nueva Helvecia, Nueva Palmira, Ombues de Lavalle, Rosario, Tarariras","UC",2022,2,1.86
"Argentina","Córdoba","UC",2022,2,1.89
"Kazakhstan","Aktobe, Shymkent, Karaganda, Stepnogorsk, Almaty, Semey, Taldykorgan, Nur-Sultan","UC",2022,1,0.47
"Zambia","Lusaka City","UC",2022,1,0.14
"Macao","Macau","UC",2022,2,0.62
"Nepal","Birtamod, Kathmandu, Pokhara","UC",2022,2,2.38
"Hong Kong","New Territories","UC",2022,2,1.43
"Taiwan","Taipei City","UC",2022,2,0.9
"Thailand","Bangkok, Chiang Mai, Khon Kaen, Songkhla","UC",2022,1,0.31
"Mexico","Tlalpan","UC",2022,2,2.61
"Vietnam","Vietnam","UC",2022,1,0.59
"Israel","Israel","UC",2020,3,12.37357665
"Sweden","Sweden","UC",2020,3,23.27891026
"Catalonia","Catalonia","UC",2020,3,19.90415721
"Italy","Italy","UC",2019,3,20.2
"New Zealand","Canterbury","UC",2023,3,15.28264589
"Denmark","Copenhagen","UC",2022,3,15.16666667
